"ComAreaID,N,18,0","community,C,254","TRACTCnt,N,18,0","shape_area,N,33,31","shape_len,N,33,31","Pop2012,N,18,0","Pop2014,N,18,0","PopChng,N,18,4","PopM,N,18,0","PopMP,N,18,4","PopF,N,18,0","PopFP,N,18,4","Under5,N,18,0","Under5P,N,18,4","Under18,N,18,0","Under18P,N,18,4","Over18,N,18,0","Over18P,N,18,4","Over21,N,18,0","Over21P,N,18,4","Over65,N,18,0","Over65P,N,18,4","Wht14,N,18,0","Wht14P,N,18,4","Blk14,N,18,0","Blk14P,N,18,4","AI14,N,18,0","AI14P,N,18,4","AS14,N,18,0","AS14P,N,18,4","NHP14,N,18,0","NHP14P,N,18,4","Oth14,N,18,0","Oth14P,N,18,4","Hisp14,N,18,0","Hisp14P,N,18,4","Property_C,N,18,0","PropCrRt,N,18,4","Violent_C,N,18,0","VlntCrRt,N,18,4","PerCInc14,N,18,0","PPop14,N,18,0","Pov14,N,18,0","field_37,N,18,4","ChldPov14,N,18,0","NoHS14,N,18,0","HSGrad14,N,18,0","SmClg14,N,18,0","ClgGrad14,N,18,0","LaborFrc,N,18,0","Unemp14,N,18,0","Pov50,N,18,0","Pov50P,N,18,4","Pov125,N,18,0","Pov125P,N,18,4","Pov150,N,18,0","Pov150P,N,18,4","Pov185,N,18,0","Pov185P,N,18,4","Pov200,N,18,0","Pov200P,N,18,4","COIave,N,18,4","HISave,N,18,4","SESave,N,18,4","Hlitave,N,18,4","BirthRate,N,18,4","FertRate,N,18,0","LoBirthR,N,18,0","PrenScrn,N,18,0","PretBrth,N,18,4","TeenBirth,N,18,4","Assault,N,18,4","BrstCancr,N,18,4","CancerAll,N,18,4","Colorect,N,18,4","DiabetM,N,18,4","FirearmM,N,18,4","InfntMR,N,18,4","LungCancer,N,18,4","ProstateC,N,18,4","Stroke,N,18,4","ChlBLLS,N,18,4","ChlLeadP,N,18,0","GonorrF,N,18,4","GonorrM,N,18,4","Tuberc,N,18,4"
46,SOUTH CHICAGO,10,93272185.0092,52435.9794313,31198,28550,-4.4319,13124,45.9685,15426,54.0315,2528,8.8546,7765,27.1979,20785,72.8021,19308,67.6287,3719,13.0263,5836,20.4413,21484,75.2504,17,0.0595,123,0.4308,8,0.028,1544,5.4081,6494,22.7461,1157,0.0405,1769,0.062,148761,28475,9573,33.619,3884,4445,4719,5928,2429,12160,2627,2837,9.9631,11939,41.928,14800,51.9754,16669,58.5391,17421,61.18,-0.3514,50.7998,50.6921,249.9049,18.1,82,13,75,15.1,76.8,36.9,31.9,227.3,21.1,86.9,33.7,17.7,50.9,56.3,50.6,493.4,1,1774.7,893.5,6.9
47,BURNSIDE,1,16995983.2737,18137.9442529,2916,2618,-5.3849,1349,51.5279,1269,48.4721,97,3.7051,557,21.2758,2061,78.7242,1905,72.7655,483,18.4492,0,0,2618,100,0,0,0,0,0,0,0,0,0,0,96,0.0367,132,0.0504,14905,2618,836,31.9328,342,387,566,654,165,1084,175,404,15.4316,1006,38.4263,1134,43.3155,1389,53.0558,1465,55.9587,-0.2507,51.832,47.2822,249.125,12.9,64,7,68,13.2,68.7,70.3,7.6,191.2,32.8,86.1,70.3,13,69.5,44,99.1,375,3,3108.8,1574.8,6.8
48,CALUMET HEIGHTS,5,48826241.5643,32925.3658706,13812,13400,-1.514,5721,42.694,7679,57.306,458,3.4179,2410,17.9851,10990,82.0149,10514,78.4627,3285,24.5149,583,4.3507,12628,94.2388,40,0.2985,19,0.1418,0,0,281,2.097,519,3.8731,479,0.0357,486,0.0363,130448,13393,2034,15.187,548,1058,2272,3904,2807,6068,1287,570,4.256,2710,20.2345,3156,23.5645,4290,32.0317,4587,34.2492,-0.0117,38.1211,59.6087,243.4126,10,57,9,75,16.4,39.3,19.5,33.5,216.6,36,81.4,24.5,13.9,48,40.4,39.2,383.2,0,1188,1106.5,2.8
49,ROSELAND,14,134313706.73,56632.7954292,44619,44267,-0.396,19574,44.218,24693,55.782,2600,5.8734,11016,24.8854,33251,75.1146,31089,70.2306,7518,16.9833,784,1.7711,43419,98.0844,199,0.4495,164,0.3705,0,0,168,0.3795,489,1.1047,1679,0.0379,2301,0.052,252932,43502,11644,26.7666,4121,4558,7622,10731,5499,18060,4521,3582,8.2341,14530,33.4008,17385,39.9637,20856,47.9426,22524,51.7769,-0.2495,41.7631,56.1334,245.6018,14.3,68,12,69,12.8,79.7,40.9,43.5,258.5,32,95.5,37.7,9.6,70.3,57.6,55.6,369.5,1,1512,1725.3,7.9
5,NORTH CENTER,14,57054167.85,31391.6697542,31867,34815,4.421,17260,49.5763,17555,50.4237,3309,9.5045,6965,20.0057,27850,79.9943,27432,78.7936,2713,7.7926,32217,92.5377,873,2.5075,485,1.3931,1841,5.288,0,0,596,1.7119,4817,13.836,677,0.0194,237,0.0068,795576,34755,1945,5.5963,250,1544,2842,4075,17442,22629,1038,740,2.1292,2500,7.1932,3342,9.6159,4863,13.9922,5084,14.6281,0.539,19.489,58.7618,241.4798,22.4,76,9,80,9.8,8.4,1,16.6,152.1,26.1,49.8,1,2.7,42.4,15.1,41.6,178.1,0,85.4,188.6,1.9
50,PULLMAN,3,59001555.602,35572.0695077,7325,6970,-2.4834,2883,41.363,4087,58.637,415,5.9541,1410,20.2296,5560,79.7704,5334,76.528,1102,15.8106,974,13.9742,5791,83.0846,4,0.0574,48,0.6887,0,0,182,2.6112,570,8.1779,287,0.0412,313,0.0449,60139,6927,1822,26.3029,658,772,1325,1903,1028,3564,917,610,8.8061,2225,32.1207,2415,34.8636,2913,42.0528,2976,42.9623,-0.3518,43.0351,54.8593,226.6283,14.3,66,11,81,12.1,67.9,32.2,34.6,262.5,28.1,78.5,32.1,13.6,83.8,92.9,65.3,398.5,3,829.1,1480.4,2.7
51,SOUTH DEERING,4,303797059.66,80389.8718002,15109,15570,1.5027,7199,46.2364,8371,53.7636,854,5.4849,4038,25.9345,11532,74.0655,10783,69.255,2244,14.4123,3881,24.9261,9982,64.1105,83,0.5331,70,0.4496,15,0.0963,1821,11.6956,4931,31.6699,560,0.036,615,0.0395,62391,15556,4222,27.1407,1720,2095,3169,3492,1082,6771,1472,877,5.6377,6700,43.0702,7399,47.5636,8391,53.9406,8941,57.4762,-0.4769,45.3562,53.568,237.6587,15.8,76,14,76,15.7,65.3,41.3,25.3,224,32.5,80.6,35.1,11.8,59.2,48.7,54.9,427.1,0,907,1018.2,2.6
52,EAST SIDE,6,83241728.0493,52274.1928493,23042,23739,1.4899,11365,47.8748,12374,52.1252,1944,8.1891,7579,31.9264,16160,68.0736,15123,63.7053,2204,9.2843,19895,83.8072,754,3.1762,204,0.8593,52,0.219,59,0.2485,3193,13.4504,19148,80.6605,275,0.0116,417,0.0176,99350,23710,5332,22.4884,2804,4201,5111,2917,1759,11134,1981,1512,6.3771,6861,28.9372,9018,38.0346,10950,46.183,12058,50.8562,-0.4233,48.1303,58.6445,249.5725,17.7,85,6,73,11,53,10.7,15.3,182.9,12.9,73.9,10.1,3.7,45.9,26.2,33.3,398.5,0,191.2,98.6,5.2
53,WEST PULLMAN,9,99365198.0822,50023.8430008,29640,31878,3.638,14127,44.3158,17751,55.6842,2057,6.4527,8258,25.905,23620,74.095,21808,68.4108,4419,13.8622,1527,4.7901,30059,94.2939,92,0.2886,58,0.1819,0,0,388,1.2171,1318,4.1345,912,0.0286,1314,0.0412,155952,31680,10587,33.4186,4325,3517,6453,7075,2992,13789,3451,2513,7.9324,12791,40.3756,14290,45.1073,16241,51.2658,17318,54.6654,-0.4444,44.1985,56.8032,256.4761,15.3,71,14,71,14.4,67.8,43.9,20.3,263.6,32.6,83.4,46.5,11.9,78.6,62.9,63.9,397.2,1,1656.9,1673.4,9.2
54,RIVERDALE,2,98389497.4143,46455.4408571,6482,7190,5.1785,2997,41.6829,4193,58.3171,887,12.3366,3185,44.2976,4005,55.7024,3676,51.1266,342,4.7566,156,2.1697,6943,96.5647,16,0.2225,0,0,0,0,85,1.1822,180,2.5035,231,0.0321,510,0.0709,15078,7092,4513,63.6351,2150,830,1077,1094,128,2512,1016,723,10.1946,5031,70.9391,5749,81.0632,6034,85.0818,6086,85.815,-1.3459,64.1595,30.6037,244.2562,12.5,46,15,74,16.5,64.5,33,25,258.3,39.4,115.9,32.8,8.7,86.1,42.5,80.6,0,0,1699.7,1397.9,5.8
